case,rank,id,name,age,occupation,income,family_income,residence,family_size,city_price_tier,commute_mode,housing_cost,housing_burden,clothing_spend,score
03_fashion,9,TW-P-0797,雅芳,35-44,醫療,>8萬,>8萬,新竹市,4,中高,汽車,1.5萬~3萬,中,>5000,6.3179
03_fashion,10,TW-P-0252,小艾,25-34,服務,>8萬,>8萬,台北市,4,高,汽車,1.5萬~3萬,中,>5000,6.2122
04_role_fangzhong,1,TW-P-0408,世昌,45-54,科技,>8萬,>8萬,台南市,4,低,汽車,5千~1.5萬,低,500~1500,5.7728
04_role_fangzhong,2,TW-P-1004,文彬,45-54,科技,>8萬,>8萬,嘉義縣,4,低,汽車,5千~1.5萬,低,1500~3000,5.7728
04_role_fangzhong,3,TW-P-0237,柔伊,25-34,公務,>8萬,>8萬,台北市,3,高,捷運/公車,5千~1.5萬,低,>5000,5.6297
04_role_fangzhong,4,TW-P-0277,艾倫,25-34,公務,>8萬,>8萬,桃園市,3,中,在家工作,5千~1.5萬,低,>5000,5.6297
04_role_fangzhong,5,TW-P-0997,美珍,35-44,科技,>8萬,>8萬,嘉義市,4,中高,汽車,1.5萬~3萬,中,>5000,5.4955
05_role_banker,1,TW-P-0331,強哥,35-44,醫療,>8萬,>8萬,台南市,2,低,機車,1.5萬~3萬,中,<500,5.6547
05_role_banker,2,TW-P-0914,雅雯,35-44,公務,>8萬,>8萬,苗栗縣,5+,低,汽車,1.5萬~3萬,中,>5000,5.6421
05_role_banker,3,TW-P-0597,寶珠,55-64,公務,>8萬,>8萬,桃園市,2,中,機車,1.5萬~3萬,中,1500~3000,5.5668
05_role_banker,4,TW-P-0826,國華,55-64,科技,>8萬,>8萬,基隆市,5+,中,汽車,1.5萬~3萬,中,500~1500,5.5502
05_role_banker,5,TW-P-0797,雅芳,35-44,醫療,>8萬,>8萬,新竹市,4,中高,汽車,1.5萬~3萬,中,>5000,5.4931
06_aesthetic,1,TW-P-0208,阿凱,25-34,金融,>8萬,>8萬,台南市,2,低,機車,5千~1.5萬,低,>5000,5.0374
06_aesthetic,2,TW-P-0770,諾亞,25-34,科技,>8萬,>8萬,新竹縣,5+,高,汽車,1.5萬~3萬,中,3000~5000,4.9732
06_aesthetic,3,TW-P-0337,建宏,35-44,自營,>8萬,>8萬,高雄市,5+,中,捷運/公車,1.5萬~3萬,中,1500~3000,4.947
06_aesthetic,4,TW-P-0189,艾力克,25-34,科技,>8萬,>8萬,桃園市,3,中,捷運/公車,<5千,低,3000~5000,4.7638
06_aesthetic,5,TW-P-0213,班,25-34,科技,>8萬,>8萬,高雄市,3,中,機車,5千~1.5萬,低,3000~5000,4.7638
06_aesthetic,6,TW-P-0252,小艾,25-34,服務,>8萬,>8萬,台北市,4,高,汽車,1.5萬~3萬,中,>5000,4.7441
06_aesthetic,7,TW-P-0382,婉玲,35-44,科技,>8萬,>8萬,台中市,5+,中高,汽車,1.5萬~3萬,中,>5000,4.7255
06_aesthetic,8,TW-P-0802,雅芳,35-44,科技,>8萬,>8萬,新竹縣,5+,高,機車,1.5萬~3萬,中,>5000,4.7255
06_aesthetic,9,TW-P-0817,惠如,45-54,科技,>8萬,>8萬,宜蘭縣,5+,低,機車,1.5萬~3萬,中,>5000,4.718
06_aesthetic,10,TW-P-0199,洛克,25-34,科技,>8萬,>8萬,台中市,1,中高,汽車,5千~1.5萬,低,>5000,4.7175
07_debt,1,TW-P-0337,建宏,35-44,自營,>8萬,>8萬,高雄市,5+,中,捷運/公車,1.5萬~3萬,中,1500~3000,5.2411
07_debt,2,TW-P-1062,大仁,35-44,自營,>8萬,>8萬,連江縣,4,極低,汽車,1.5萬~3萬,中,500~1500,5.1229
07_debt,3,TW-P-0797,雅芳,35-44,醫療,>8萬,>8萬,新竹市,4,中高,汽車,1.5萬~3萬,中,>5000,5.0259
07_debt,4,TW-P-0996,麗美,35-44,醫療,>8萬,>8萬,嘉義市,4,中高,汽車,1.5萬~3萬,中,>5000,5.0259
07_debt,5,TW-P-0914,雅雯,35-44,公務,>8萬,>8萬,苗栗縣,5+,低,汽車,1.5萬~3萬,中,>5000,4.9066
07_debt,6,TW-P-0331,強哥,35-44,醫療,>8萬,>8萬,台南市,2,低,機車,1.5萬~3萬,中,<500,4.8442
07_debt,7,TW-P-0326,志強,35-44,金融,>8萬,>8萬,高雄市,2,中,機車,1.5萬~3萬,中,1500~3000,4.7894
07_debt,8,TW-P-0382,婉玲,35-44,科技,>8萬,>8萬,台中市,5+,中高,汽車,1.5萬~3萬,中,>5000,4.6649
07_debt,9,TW-P-0802,雅芳,35-44,科技,>8萬,>8萬,新竹縣,5+,高,機車,1.5萬~3萬,中,>5000,4.6649
07_debt,10,TW-P-0817,惠如,45-54,科技,>8萬,>8萬,宜蘭縣,5+,低,機車,1.5萬~3萬,中,>5000,4.6554
08_boss,1,TW-P-0181,小奈,19-24,學生,無收入,>8萬,台中市,5+,中高,機車,<5千,低,>5000,4.0163
08_boss,2,TW-P-0166,菲菲,19-24,學生,無收入,7萬,台南市,5+,低,汽車,<5千,低,500~1500,3.7964
08_boss,3,TW-P-0175,菲菲,19-24,服務,<3萬,<1萬,新北市,2,中高,機車,<5千,高,500~1500,3.7683
08_boss,4,TW-P-0149,阿緯,19-24,學生,無收入,7萬,台中市,4,中高,機車,1.5萬~3萬,中,500~1500,3.619
08_boss,5,TW-P-0151,阿豪,19-24,學生,無收入,7萬,新北市,4,中高,機車,1.5萬~3萬,中,1500~3000,3.619
08_boss,6,TW-P-0138,小白,19-24,學生,無收入,1-3萬,台中市,4,中高,汽車,<5千,低,<500,3.5868
08_boss,7,TW-P-0172,小艾,19-24,學生,無收入,1-3萬,台南市,4,低,步行/腳踏車,<5千,低,1500~3000,3.5868
08_boss,8,TW-P-0139,大雄,19-24,學生,無收入,3-5萬,台南市,5+,低,機車,5千~1.5萬,中,<500,3.5114
08_boss,9,TW-P-0185,若希,19-24,學生,無收入,3-5萬,高雄市,5+,中,機車,<5千,低,500~1500,3.5114
08_boss,10,TW-P-0165,菲菲,19-24,製造,<3萬,7萬,台南市,4,低,捷運/公車,1.5萬~3萬,中,500~1500,3.4557
