case,rank,id,name,age,occupation,income,family_income,residence,family_size,city_price_tier,commute_mode,housing_cost,housing_burden,clothing_spend,aesthetic_procedure,debt_status,employment_status,sex,region,education,marriage,hobby,politics,media_diet,score
07_debt,9,TW-P-0791,文龍,35-44,製造,3-8萬,3-5萬,新竹縣,5+,高,機車,5千~1.5萬,中,500~1500,無,房貸+消費債,受僱者,男,北部,研究所以上,已婚,"['泡茶', '球類', '登山']",泛綠,混合,2.5098
07_debt,10,TW-P-0801,美珍,35-44,公務,3-8萬,5-7萬,新竹縣,2,高,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,女,北部,高中,已婚,"['打牌', '追劇']",無政治傾向,混合,2.4829
08_boss,1,TW-P-0145,阿杰,19-24,學生,無收入,5-7萬,桃園市,3,中,捷運/公車,5千~1.5萬,低,500~1500,無,無,不適用,男,都會區(六都),研究所以上,未婚,"['打牌', '閱讀']",泛綠,社群為主,4.7325
08_boss,2,TW-P-0182,小彤,19-24,學生,無收入,1-3萬,新北市,3,中高,捷運/公車,<5千,低,1500~3000,無,無,不適用,女,都會區(六都),大學,未婚,"['打電動', '追劇', '音樂']",無政治傾向,社群為主,4.6154
08_boss,3,TW-P-0165,小奈,19-24,服務,<3萬,1-3萬,高雄市,4,中,機車,<5千,低,1500~3000,無,無,受僱者,女,都會區(六都),高中,未婚,"['園藝', '打牌', '烹飪']",白/第三勢力,混合,4.6009
08_boss,4,TW-P-0977,阿元,19-24,製造,<3萬,5-7萬,嘉義縣,3,低,機車,<5千,低,1500~3000,無,無,受僱者,男,南部,大學,未婚,"['打電動', '球類', '追劇']",白/第三勢力,社群為主,4.4228
08_boss,5,TW-P-0160,小薇,19-24,學生,無收入,1-3萬,高雄市,3,中,機車,<5千,低,1500~3000,無,無,不適用,女,都會區(六都),研究所以上,未婚,"['打電動', '球類', '追劇']",無政治傾向,社群為主,4.4169
08_boss,6,TW-P-0767,米亞,19-24,學生,無收入,1-3萬,新竹市,3,中高,機車,<5千,低,1500~3000,無,無,不適用,女,北部,大學,未婚,"['打電動', '追劇', '閱讀']",無政治傾向,社群為主,4.4169
08_boss,7,TW-P-0179,安妮,19-24,學生,無收入,1-3萬,新北市,3,中高,捷運/公車,<5千,低,<500,無,無,不適用,女,都會區(六都),大學,未婚,"['追劇', '逛街購物', '閱讀']",泛藍,混合,4.2939
08_boss,8,TW-P-0878,小薇,19-24,學生,無收入,5-7萬,南投縣,2,極低,機車,<5千,低,500~1500,無,無,不適用,女,中部,高中,未婚,"['追劇', '閱讀', '音樂']",泛綠,社群為主,4.2896
08_boss,9,TW-P-0873,小傑,19-24,學生,無收入,5-7萬,雲林縣,4,極低,機車,5千~1.5萬,低,<500,無,無,不適用,男,中部,大學,未婚,"['登山', '追劇']",泛藍,混合,4.1754
08_boss,10,TW-P-0177,若希,19-24,學生,無收入,1-3萬,高雄市,2,中,機車,<5千,低,1500~3000,無,無,不適用,女,都會區(六都),大學,未婚,"['球類', '逛街購物', '閱讀']",泛藍,社群為主,4.1296
09_owner,1,TW-P-0593,秀英,55-64,金融,>8萬,>8萬,台中市,5+,中高,機車,1.5萬~3萬,中,3000~5000,無,無,雇主,女,都會區(六都),大學,未婚,"['烹飪', '追劇', '逛街購物']",泛藍,社群為主,1.7312
09_owner,2,TW-P-0542,進福,55-64,製造,>8萬,>8萬,新北市,2,中高,機車,5千~1.5萬,低,<500,無,無,雇主,男,都會區(六都),大學,已婚,"['下棋', '球類', '逛街購物']",泛藍,傳統媒體為主,1.6632
09_owner,3,TW-P-0563,朝陽,55-64,製造,>8萬,>8萬,台北市,2,高,捷運/公車,5千~1.5萬,低,<500,無,無,雇主,男,都會區(六都),高中,已婚,"['打電動', '逛街購物']",無政治傾向,傳統媒體為主,1.6632
09_owner,4,TW-P-0567,清輝,55-64,製造,>8萬,>8萬,台北市,2,高,捷運/公車,1.5萬~3萬,中,<500,無,無,雇主,男,都會區(六都),高中,未婚,"['泡茶', '球類', '追劇']",泛綠,傳統媒體為主,1.6632
09_owner,5,TW-P-0331,正雄,35-44,科技,>8萬,>8萬,新北市,5+,中高,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,雇主,男,都會區(六都),研究所以上,未婚,"['打電動', '球類']",泛藍,傳統媒體為主,1.5904
09_owner,6,TW-P-0344,強哥,35-44,服務,>8萬,>8萬,高雄市,4,中,機車,1.5萬~3萬,中,500~1500,無,有信貸或卡債,雇主,男,都會區(六都),大學,已婚,"['園藝', '打電動', '逛街購物']",泛藍,混合,1.5808
09_owner,7,TW-P-0788,志強,35-44,服務,>8萬,>8萬,新竹市,3,中高,捷運/公車,1.5萬~3萬,中,3000~5000,無,無,雇主,男,北部,大學,已婚,"['登山', '追劇']",泛藍,混合,1.5808
09_owner,8,TW-P-0338,建宏,35-44,製造,>8萬,>8萬,台中市,5+,中高,機車,5千~1.5萬,低,<500,無,無,雇主,男,都會區(六都),高中,已婚,"['泡茶', '球類']",泛綠,混合,1.5633
09_owner,9,TW-P-0343,志強,35-44,製造,>8萬,>8萬,台南市,3,低,捷運/公車,<5千,低,<500,無,有信貸或卡債,雇主,男,都會區(六都),高中,已婚,"['打電動', '登山', '閱讀']",泛藍,混合,1.5633
09_owner,10,TW-P-0993,建宏,35-44,製造,>8萬,>8萬,屏東縣,3,低,捷運/公車,5千~1.5萬,低,<500,無,無,雇主,男,南部,高中,已婚,"['打電動', '閱讀']",泛藍,社群為主,1.5633
