case,rank,id,name,age,occupation,income,family_income,residence,family_size,city_price_tier,commute_mode,housing_cost,housing_burden,clothing_spend,aesthetic_procedure,debt_status,employment_status,score
07_debt,3,TW-P-0388,美珍,35-44,教育,>8萬,>8萬,台中市,3,中高,汽車,1.5萬~3萬,中,>5000,無,有房貸,受僱者,4.3883
07_debt,4,TW-P-0331,正雄,35-44,科技,>8萬,>8萬,新北市,5+,中高,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,雇主,4.3783
07_debt,5,TW-P-0811,志強,45-54,科技,>8萬,>8萬,基隆市,5+,中,捷運/公車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,4.3709
07_debt,6,TW-P-0929,麗華,45-54,科技,>8萬,>8萬,彰化縣,5+,極低,捷運/公車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,4.3709
07_debt,7,TW-P-0400,惠雯,35-44,公務,3-8萬,5-7萬,台北市,2,高,機車,1.5萬~3萬,中,3000~5000,無,房貸+消費債,受僱者,2.5989
07_debt,8,TW-P-0791,文龍,35-44,製造,3-8萬,3-5萬,新竹縣,5+,高,機車,5千~1.5萬,中,500~1500,無,房貸+消費債,受僱者,2.3484
07_debt,9,TW-P-0801,美珍,35-44,公務,3-8萬,5-7萬,新竹縣,2,高,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,2.3099
07_debt,10,TW-P-0380,美珍,35-44,醫療,3-8萬,3-5萬,台南市,4,低,機車,5千~1.5萬,中,1500~3000,無,有房貸,受僱者,2.1651
08_boss,1,TW-P-0142,阿翔,19-24,學生,無收入,1-3萬,台中市,1,中高,捷運/公車,<5千,低,500~1500,無,無,不適用,4.4815
08_boss,2,TW-P-0157,大雄,19-24,學生,無收入,5-7萬,新北市,4,中高,捷運/公車,1.5萬~3萬,中,500~1500,無,無,不適用,4.3848
08_boss,3,TW-P-0145,阿杰,19-24,學生,無收入,5-7萬,桃園市,3,中,捷運/公車,5千~1.5萬,低,500~1500,無,無,不適用,4.3647
08_boss,4,TW-P-0149,小白,19-24,學生,無收入,5-7萬,桃園市,5+,中,步行/腳踏車,1.5萬~3萬,中,500~1500,無,無,不適用,4.3067
08_boss,5,TW-P-0763,小陳,19-24,學生,無收入,1-3萬,新竹市,1,中高,機車,5千~1.5萬,高,500~1500,無,無,不適用,4.283
08_boss,6,TW-P-0174,凱琳,19-24,學生,無收入,1-3萬,台中市,1,中高,步行/腳踏車,<5千,低,1500~3000,無,無,不適用,4.2325
08_boss,7,TW-P-0182,小彤,19-24,學生,無收入,1-3萬,新北市,3,中高,捷運/公車,<5千,低,1500~3000,無,無,不適用,4.2107
08_boss,8,TW-P-0184,小莉,19-24,學生,無收入,1-3萬,台中市,1,中高,機車,<5千,低,1500~3000,無,無,不適用,4.1653
08_boss,9,TW-P-0165,小奈,19-24,服務,<3萬,1-3萬,高雄市,4,中,機車,<5千,低,1500~3000,無,無,受僱者,4.1632
08_boss,10,TW-P-0166,菲菲,19-24,學生,無收入,5-7萬,桃園市,5+,中,機車,5千~1.5萬,低,1500~3000,無,無,不適用,4.1219
