case,rank,id,name,score,sex,age,employment_status,aesthetic_procedure,debt_status,housing_burden,region
07_debt,1,TW-P-0328,俊傑,5.376,男,35-44,自營作業者,無,房貸+消費債,中,都會區(六都)
07_debt,2,TW-P-0234,艾力克,5.2116,男,25-34,受僱者,無,有房貸,中,都會區(六都)
07_debt,3,TW-P-0473,淑娟,5.187,女,45-54,受僱者,有,有房貸,中,都會區(六都)
07_debt,4,TW-P-0388,美珍,5.1632,女,35-44,受僱者,無,有房貸,中,都會區(六都)
07_debt,5,TW-P-0331,正雄,5.141,男,35-44,雇主,無,有房貸,中,都會區(六都)
07_debt,6,TW-P-0811,志強,5.1325,男,45-54,受僱者,無,有房貸,中,北部
07_debt,7,TW-P-0929,麗華,5.1325,女,45-54,受僱者,無,有房貸,中,中部
07_debt,8,TW-P-0774,歐文,5.0682,男,25-34,受僱者,無,有房貸,中,北部
07_debt,9,TW-P-0341,世昌,4.5376,男,35-44,受僱者,無,無,中,都會區(六都)
07_debt,10,TW-P-0593,秀英,4.4827,女,55-64,雇主,無,無,中,都會區(六都)
08_boss,1,TW-P-0142,阿翔,4.7287,男,19-24,不適用,無,無,低,都會區(六都)
08_boss,2,TW-P-0145,阿杰,4.614,男,19-24,不適用,無,無,低,都會區(六都)
08_boss,3,TW-P-0206,傑,4.5147,男,25-34,自營作業者,無,有信貸或卡債,低,都會區(六都)
08_boss,4,TW-P-0182,小彤,4.509,女,19-24,不適用,無,無,低,都會區(六都)
08_boss,5,TW-P-0165,小奈,4.4938,女,19-24,受僱者,無,無,低,都會區(六都)
08_boss,6,TW-P-0763,小陳,4.4873,男,19-24,不適用,無,無,高,北部
08_boss,7,TW-P-0174,凱琳,4.4797,女,19-24,不適用,無,無,低,都會區(六都)
08_boss,8,TW-P-0184,小莉,4.4125,女,19-24,不適用,無,無,低,都會區(六都)
08_boss,9,TW-P-0878,小薇,4.4104,女,19-24,不適用,無,無,低,中部
08_boss,10,TW-P-0166,菲菲,4.3467,女,19-24,不適用,無,無,低,都會區(六都)
09_owner,1,TW-P-0593,秀英,2.4036,女,55-64,雇主,無,無,中,都會區(六都)
09_owner,2,TW-P-0331,正雄,2.164,男,35-44,雇主,無,有房貸,中,都會區(六都)
09_owner,3,TW-P-0542,進福,2.151,男,55-64,雇主,無,無,低,都會區(六都)
09_owner,4,TW-P-0563,朝陽,2.151,男,55-64,雇主,無,無,低,都會區(六都)
09_owner,5,TW-P-0567,清輝,2.151,男,55-64,雇主,無,無,中,都會區(六都)
09_owner,6,TW-P-0344,強哥,2.1177,男,35-44,雇主,無,有信貸或卡債,中,都會區(六都)
09_owner,7,TW-P-0788,志強,2.1109,男,35-44,雇主,無,無,中,北部
09_owner,8,TW-P-0338,建宏,2.0829,男,35-44,雇主,無,無,低,都會區(六都)
09_owner,9,TW-P-0602,阿緞,2.0663,女,55-64,自營作業者,無,無,低,都會區(六都)
09_owner,10,TW-P-0484,慧君,2.0655,女,45-54,自營作業者,無,無,低,都會區(六都)
