case,rank,id,name,age,occupation,income,family_income,residence,family_size,city_price_tier,commute_mode,housing_cost,housing_burden,clothing_spend,aesthetic_procedure,debt_status,employment_status,score
04_role_fangzhong,2,TW-P-0248,小奈,25-34,科技,>8萬,>8萬,台南市,3,低,捷運/公車,<5千,低,>5000,無,無,受僱者,4.6916
04_role_fangzhong,3,TW-P-0370,惠如,35-44,公務,>8萬,>8萬,桃園市,3,中,捷運/公車,<5千,低,1500~3000,無,無,受僱者,4.5809
04_role_fangzhong,4,TW-P-0234,艾力克,25-34,金融,>8萬,>8萬,台南市,4,低,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,4.5395
04_role_fangzhong,5,TW-P-0484,慧君,45-54,金融,>8萬,>8萬,台南市,3,低,機車,5千~1.5萬,低,>5000,無,無,自營作業者,4.5179
05_role_banker,1,TW-P-0328,俊傑,35-44,製造,>8萬,>8萬,桃園市,5+,中,步行/腳踏車,1.5萬~3萬,中,<500,無,房貸+消費債,自營作業者,5.9741
05_role_banker,2,TW-P-0234,艾力克,25-34,金融,>8萬,>8萬,台南市,4,低,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,5.546
05_role_banker,3,TW-P-0388,美珍,35-44,教育,>8萬,>8萬,台中市,3,中高,汽車,1.5萬~3萬,中,>5000,無,有房貸,受僱者,5.5165
05_role_banker,4,TW-P-0774,歐文,25-34,科技,>8萬,>8萬,新竹市,2,中高,機車,1.5萬~3萬,中,>5000,無,有房貸,受僱者,5.505
05_role_banker,5,TW-P-0473,淑娟,45-54,其他,>8萬,>8萬,高雄市,5+,中,機車,1.5萬~3萬,中,>5000,有,有房貸,受僱者,5.4997
06_aesthetic,1,TW-P-0473,淑娟,45-54,其他,>8萬,>8萬,高雄市,5+,中,機車,1.5萬~3萬,中,>5000,有,有房貸,受僱者,4.6875
06_aesthetic,2,TW-P-0513,婉玲,45-54,製造,>8萬,>8萬,台中市,5+,中高,機車,1.5萬~3萬,中,1500~3000,有,有信貸或卡債,受僱者,4.1221
06_aesthetic,3,TW-P-0891,菲菲,25-34,公務,3-8萬,5-7萬,南投縣,2,極低,步行/腳踏車,<5千,低,3000~5000,有,無,受僱者,3.6509
06_aesthetic,4,TW-P-0361,麗華,35-44,醫療,3-8萬,7萬,台南市,4,低,汽車,5千~1.5萬,低,500~1500,有,無,受僱者,3.2462
06_aesthetic,5,TW-P-0247,小薇,25-34,服務,3-8萬,3-5萬,高雄市,3,中,機車,5千~1.5萬,中,>5000,有,無,受僱者,3.152
06_aesthetic,6,TW-P-0280,莉亞,25-34,製造,3-8萬,3-5萬,桃園市,4,中,捷運/公車,5千~1.5萬,中,3000~5000,有,無,受僱者,3.1321
06_aesthetic,7,TW-P-0238,米亞,25-34,服務,3-8萬,3-5萬,桃園市,2,中,機車,5千~1.5萬,中,>5000,有,無,受僱者,3.1281
06_aesthetic,8,TW-P-0350,美惠,35-44,家管,3-8萬,3-5萬,新北市,2,中高,機車,5千~1.5萬,中,3000~5000,有,無,不適用,2.9163
06_aesthetic,9,TW-P-0512,慧君,45-54,家管,3-8萬,3-5萬,桃園市,2,中,在家工作,<5千,低,3000~5000,有,無,不適用,2.9073
06_aesthetic,10,TW-P-0372,麗卿,35-44,服務,3-8萬,3-5萬,台南市,2,低,汽車,<5千,低,>5000,有,無,受僱者,2.9057
07_debt,1,TW-P-0328,俊傑,35-44,製造,>8萬,>8萬,桃園市,5+,中,步行/腳踏車,1.5萬~3萬,中,<500,無,房貸+消費債,自營作業者,4.7287
07_debt,2,TW-P-0234,艾力克,25-34,金融,>8萬,>8萬,台南市,4,低,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,4.6176
07_debt,3,TW-P-0473,淑娟,45-54,其他,>8萬,>8萬,高雄市,5+,中,機車,1.5萬~3萬,中,>5000,有,有房貸,受僱者,4.5929
07_debt,4,TW-P-0388,美珍,35-44,教育,>8萬,>8萬,台中市,3,中高,汽車,1.5萬~3萬,中,>5000,無,有房貸,受僱者,4.5541
07_debt,5,TW-P-0331,正雄,35-44,科技,>8萬,>8萬,新北市,5+,中高,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,雇主,4.5208
07_debt,6,TW-P-0811,志強,45-54,科技,>8萬,>8萬,基隆市,5+,中,捷運/公車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,4.5112
07_debt,7,TW-P-0929,麗華,45-54,科技,>8萬,>8萬,彰化縣,5+,極低,捷運/公車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,4.5112
07_debt,8,TW-P-0774,歐文,25-34,科技,>8萬,>8萬,新竹市,2,中高,機車,1.5萬~3萬,中,>5000,無,有房貸,受僱者,4.4026
07_debt,9,TW-P-0276,小莉,25-34,教育,3-8萬,>8萬,台北市,3,高,捷運/公車,1.5萬~3萬,中,>5000,無,有房貸,受僱者,3.0961
07_debt,10,TW-P-1019,寶珠,55-64,科技,3-8萬,7萬,嘉義縣,4,低,機車,1.5萬~3萬,中,1500~3000,無,有房貸,受僱者,3.0577
08_boss,1,TW-P-0165,小奈,19-24,服務,<3萬,1-3萬,高雄市,4,中,機車,<5千,低,1500~3000,無,無,受僱者,3.7635
08_boss,2,TW-P-0977,阿元,19-24,製造,<3萬,5-7萬,嘉義縣,3,低,機車,<5千,低,1500~3000,無,無,受僱者,3.6457
08_boss,3,TW-P-0762,阿元,19-24,服務,<3萬,1-3萬,基隆市,1,中,步行/腳踏車,5千~1.5萬,高,<500,無,有房貸,受僱者,3.6422
08_boss,4,TW-P-0764,阿峰,19-24,服務,<3萬,1-3萬,基隆市,1,中,步行/腳踏車,5千~1.5萬,高,<500,無,有房貸,受僱者,3.6422
08_boss,5,TW-P-0882,小傑,25-34,服務,<3萬,5-7萬,彰化縣,3,極低,捷運/公車,5千~1.5萬,低,500~1500,無,無,受僱者,3.3653
08_boss,6,TW-P-0270,若希,25-34,製造,<3萬,5-7萬,高雄市,5+,中,捷運/公車,1.5萬~3萬,中,500~1500,無,無,受僱者,3.2987
08_boss,7,TW-P-0228,小林,25-34,服務,<3萬,1-3萬,台北市,1,高,機車,5千~1.5萬,高,500~1500,無,無,受僱者,3.2775
08_boss,8,TW-P-0241,小莉,25-34,服務,<3萬,1-3萬,高雄市,1,中,機車,<5千,低,500~1500,無,無,受僱者,3.2775
08_boss,9,TW-P-0887,阿豪,25-34,服務,<3萬,1-3萬,彰化縣,1,極低,機車,<5千,低,500~1500,無,無,受僱者,3.2775
08_boss,10,TW-P-0288,小莉,25-34,製造,<3萬,1-3萬,台南市,3,低,捷運/公車,<5千,低,500~1500,無,無,受僱者,3.1829
